algorithm,run_name,seed,learning_rate,gamma,buffer_size,batch_size,exploration_fraction,target_update_interval,train_freq,gradient_steps,learning_starts,mean_reward,std_reward,success_rate,mean_steps,convergence_episode,model_path,metrics_path,progress_path,plot_path,summary_path
dqn,dqn_run_01,42,0.001,0.95,10000,64,0.2,250,4,1,1000,86.23335476899175,57.23551556147649,0.0,12.7,1528,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/dqn/dqn_run_01/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_01/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_01/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/dqn/dqn_run_01/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_01/summary.json
dqn,dqn_run_02,43,0.00075,0.97,15000,64,0.22,300,4,1,1000,109.23542385031973,50.29626952393034,0.0,17.9,1124,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/dqn/dqn_run_02/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_02/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_02/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/dqn/dqn_run_02/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_02/summary.json
dqn,dqn_run_03,44,0.0005,0.98,20000,128,0.15,400,4,2,1000,82.71142151510223,63.33157902733905,0.0,18.9,1679,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/dqn/dqn_run_03/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_03/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_03/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/dqn/dqn_run_03/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_03/summary.json
dqn,dqn_run_04,45,0.0003,0.99,30000,128,0.1,500,8,2,1000,59.29955207403945,68.42101094919214,0.0,59.0,959,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/dqn/dqn_run_04/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_04/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_04/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/dqn/dqn_run_04/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_04/summary.json
dqn,dqn_run_05,46,0.00025,0.985,25000,64,0.18,350,4,1,1000,274.06524926757737,8.423397803577085,0.0,250.0,1659,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/dqn/dqn_run_05/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_05/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_05/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/dqn/dqn_run_05/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_05/summary.json
dqn,dqn_run_06,47,0.0002,0.99,35000,128,0.12,600,8,4,1000,76.65633879886627,58.64488804822179,0.0,17.7,1274,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/dqn/dqn_run_06/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_06/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_06/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/dqn/dqn_run_06/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_06/summary.json
dqn,dqn_run_07,48,0.00015,0.995,40000,256,0.1,800,8,4,1000,95.81156746508432,67.56444719894529,0.0,86.6,1017,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/dqn/dqn_run_07/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_07/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_07/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/dqn/dqn_run_07/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_07/summary.json
dqn,dqn_run_08,49,0.0001,0.97,18000,64,0.25,300,4,1,1000,42.79316970010412,46.43815192845035,0.0,8.1,1191,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/dqn/dqn_run_08/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_08/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_08/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/dqn/dqn_run_08/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_08/summary.json
dqn,dqn_run_09,50,8e-05,0.99,50000,256,0.08,1000,16,8,1000,111.30663435018103,62.0258780655845,0.0,46.2,2133,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/dqn/dqn_run_09/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_09/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_09/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/dqn/dqn_run_09/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_09/summary.json
dqn,dqn_run_10,51,5e-05,0.995,60000,256,0.05,1200,16,8,1000,105.15137499681168,46.97886750750501,0.0,28.9,2157,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/models/dqn/dqn_run_10/best_model.zip,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_10/episode_metrics.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_10/progress.csv,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/plots/dqn/dqn_run_10/training_curve.png,/Users/apple/Documents/MLAssignmentsFolder/Mission-Based-Reinforcement-Learning/results/dqn/dqn_run_10/summary.json
